SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Eugene F Moran,,Moran Towing & Trans Co of NY,Tug steam,1905,"Philadelphia, PA",12/8/1917,1917,12,8,Absecon,39.34722,-74.35083,Foundered,,US,101.8,21.8,8.9,176,,"New York, NY",,,,13,,9,"$175,000",,,,A,,Y,#202008
Foster,,,Schooner - Barge,1898,"Bath, ME",9/8/1917,1917,9,8,Absecon,,,Foundered,Wood,US,183.8,35.2,16.1,841,741,"Fall River, MA","Norfolk, VA","Fall River, MA",,4,,0,,,Coal,,Y,Y,N,#121080; Total loss
Frank Pendelton,,,Schooner - Barge,1874,"Belfast, ME",3/8/1917,1917,3,8,Ambrose Channel,,,Foundered,,US,200,39,25,1342,1093,"New York, NY",,,,4,0,0,,,,,Y,Y,N ,#120156; Total loss
Henry Clay (1917),,,Schooner,1890,,4/6/1917,1917,4,6,"Montauk Point, NY",,,Foundered,,,,,,841,,,,,,,,,,,,,,,N,
Iowa,,,Schooner - Barge,1800,"Bath, ME",2/5/1917,1917,2,5,Sandy Hook,,,Foundered,Wood,US,237.4,43.5,19.8,1606,1473,"Boston, MA","Norfolk, VA","Fall River, MA",,5,,5,,,Coal,,,,N,#100696
J A Holmes,J H Holmes,,Schooner,1867,"Mears, MI",9/8/1917,1917,9,8,Barnegat,,,"Struck remains of ""Sumner""",Wood,US,112.3,26.5,8.7,167,159,"New York, NY","Hawksbury, NY","""A Southern port""",,4,,0,,,Lumber,,Y,Y,N,#12760; Broke up slowly; Total loss
J H Holmes,,,Schooner,,,9/1/1917,1917,9,1,Barnegat Inlet Shoal,,,"Struck wreckage of ""Sumner""",,,,,,,,,,,,,,,,,Lumber,,Y,Y,N,Broke up slowly
Jacob Jones (1917),DD-61,U S Navy,Destroyer,1916,"Camden, NJ",12/6/1917,1917,12,6,"Scilly Islands, England",,,Torpedoed by U-53,Steel,US,315,30.5,9.8,1205,,,"Brest, France","Queentown, Ireland",David Bagley,102,,64,,,,,Y,Y,Y,WWI war loss
James J Duffy,,,Barge,1904,,7/16/1917,1917,7,16,"Shady Side, NJ",,,"Collision w/ yacht ""United States""",,,,,,379,,,,,,1,,0,,,,,,,N,#162337
Katherine Dempsey (1917),,Dempsey & Sons,Barge,1909,"Elkton, MD",12/8/1917,1917,12,8,Beach Haven,,,Foundered in storm,Wood,US,,,,473,435,"Philadelphia, PA","New York, NY","Baltimore, MD",B T Massey,3,,0,"$25,000", ,900 ton sulphur,,N,N,N,"#163727; Refloated; Towed by ""O L Hallenbeck"""
Kennebec (1917),,Seaboard Transportation Co,Schooner - Barge,1883,"Bath, ME",2/5/1917,1917,2,5,Sandy Hook E 20 mi,,,Foundered,Wood,,237.7,43.3,27,2048,1850,"Boston, MA","Norfolk, VA","Providence, RI",,6,,0,,,Coal,,,,Y,#14422
Maggie A Howlett,,,Motor vessel,1893,,12/26/1917,1917,12,26,"Bivalve, NJ",,,Burned,,,,,,31,,"Bivalve, NJ",,,,7,,0,,,,,,,N,#92497
Michael Dempsey (A),,J J Dempsey,Barge,1907,,3/25/1917,1917,3,25,Absecon,,,Struck submerged object,Steel,,,,,522,,"Philadelphia, PA","New York, NY","Norfolk, VA",Chester,4,,0,"$10,000","$10,000",800 ton plaster,,N,N,N,#163398; Proceeded after repair
Michael Dempsey (B),,J J Dempsey,Barge,1907,,12/8/1917,1917,12,8,Beach Haven,,,Foundered in storm,Steel,,,,,522,,"Philadelphia, PA","New York, NY","Baltimore, MD",Ed McDevitt,3,,3,"$25,000", ,900 ton sulphur,,,,N,"#163398; In tow of ""O L Hallenbeck"""
Mohawk RC,,U S Coast Guard,Revenue Cutter,1904,"Richmond, VA",10/1/1917,1917,10,1,Sandy Hook ESE 15 mi,40.41720,-73.74680,"Collision w/ ""Vennachar""",Steel,US,205.6,32,11,980,,"New York, NY",,Patrol duty,Landry,77,,0,,,,,A,Y,Y,Deck plans in file
N E Ayer,,,Schooner,1865,"Milton, DE",4/17/1917,1917,4,17,Sandy Hook SE 100 mi,,,Capsized in gale,Wood,US,114.9,29.8,8.7,249,198,"Bangor, ME",Nova Scotia,"Philadelphia, PA",,5,,1,,,,,,,N,#105586
Narcissa,,,Steamship,,,2/24/1917,1917,2,24,Atlantic City NE 1.5 mi,,,Stranded,,,,,,51,,,,,,5,,0,"$3,000",,,Atlantic City #27,N,N,N,Refloated
New Orleans,,Boca Grande SS Co,Freighter steam,1872,"Wilmington, DE",10/13/1917,1917,10,13,Five Fathom Bank,38.68333,-74.85000,,,,,,,,,,,,,,,,,,,,A,Y,N,#18726; Total loss
Pilot (1917),,,Pilot boat,,,12/16/1917,1917,12,16,New York Harbor,,,"Collision w/ ""Berkshire""",,,,,,,,,,,,,,,,,,,,,N ,Tangled in Antisub net
Quevilly,,Soc. Anon. de Quevilly,Bark,1897,"Romeu, France",1/28/1917,1917,1,28,Ambrose Lightship E,,,"Collision w/ ""Sampson""",Steel,France,322,45.5,24.2,3203,2418,"Romeu, France","Bordeaux, France","New York, NY",,,,,,,,,,,N,
Ruth E Pemba,,,Fishing boat,1901,"Tottenville, NY",12/15/1917,1917,12,15,Scotland Lightship,,,Collision w/ submerged rock,,,92.8,22.8,9.7,94,50,"New York, NY",,Fishing service,,18, ,0,,,,,Y,Y,N,#111334; Total loss
Ryan,,,Steamship,1890,,3/14/1917,1917,3,14,Pecks Beach,,,Foundered,,,,,,126,,,,,,,,,,,,,,,N,
Sagua (1917),,,Steamship,1914,"New Castle, England",3/24/1917,1917,3,24,Barnegat,,,"Collision w/ ""Binghampton""",Steel,,331.1,45.2,25.6,3298,2005,"New York, NY",,,,,,,,,,,,,N,#214722
Sampson USS,,U S Navy,Destroyer,1916,"Fall River, MA",1/28/1917,1917,1,28,Ambrose Lightship E,,,"Collision w/ ""Quevilly""",Steel,US,310,29.6,9.5,1110,,,,,,,,,,,,,N,N,N,Damaged; repaired
74 H,020423,,Scow,,,7/28/1916,1916,7,28,Sandy Hook SE 5 mi,,,Grounded,,,,,,,,,,,,1,,0,,,,USCG #97 & 99,,,N,
Anna (1916),,Suzie C Ogden,Yacht gas,1887,"Newburyport, MA",10/30/1916,1916,10,30,"Ocean City, NJ",,,Stranded,Wood,US,62.2,12,4.1,23,15,"Philadelphia, PA","Philadelphia, PA","Ocean City, NJ",James Ogden,3,0,0,"$1,000",,None,,Y,Y,N,#106491; Total loss
Artensis,,O Langa,Ship,1885,"Dumbarton, England",6/8/1916,1916,6,8,Seaside Park,,,Stranded,Iron,Norway,266.8,39.5,22.3,1789,1709,"Drammen, Norway","Glasgow, Scotland","New York, NY",,19,,0,,,Ballast,Seaside Park,N,N,Y,Refloated
Arundel,,,Barge,1902,"Elkton, MD",4/9/1916,1916,4,9,Barnegat,,,Foundered,,,,,,418,418,"Baltimore, MD",,,,3,,0,,,,,Y,Y,N,#30301; Total loss
Brazos (1916),,,Steamship,1907,"Newport News, VA",1/25/1916,1916,1,25,Barnegat,,,"Collision w/ ""Suffolk""",,,401,54,26.3,6399,4077,"New York, NY","New York, NY","San Juan, PR",,,,,,,,,N,N,N,#204660; Returned to NY
C W Morse,,,Steamship,1889,,7/17/1916,1916,7,17,,,,Lost,,,,,,509,,,"New York, NY",,,25,,25,,,,,Y,Y,Y,Never seen again
Carrie E Look,,,Schooner,1890,,12/8/1916,1916,12,8,Perth Amboy,,,Foundered,,,,,,530,,,,,,,,,,,,,,,N,
Estella F,,,Motor vessel,,,10/22/1916,1916,10,22,Seaside Park S 1.75 mi,,,Fouled in fish pound net,,,,,,8,,,,,,3,,0,,,,Seaside Park #10,N,N,N,"Assist from USLSS 110, 111, 113"
George E Walcott,,E S Crosby,Schooner,1890,"Bath, ME",7/30/1916,1916,7,30,"Black Tom Basin, NJ",,,Burned,,,212.7,44.1,19.6,1533,1475,"Bath, ME",,,Mitchell Reed,11,,0,,,,,,,N,#86116
Ghost,,,Motor vessel gas,1914,,1/9/1916,1916,1,9,Absecon Beach E 12 mi,,,Burned; Foundered,Wood,,,,,9,,"Philadelphia, PA","Atlantic City, NJ",Fishing trip,William Conover,3,0,0,"$6,000",,None,,Y,Y,N,"#212791; Total loss; ""Guyasuta"" rescued crew"
Hattie,,,Barge,,,9/25/1916,1916,9,25,"Long Branch, NJ",,,Towing vessel disabled,,,,,,1286,,,,,,4,,0,"$60,000","$10,000",Coal,,N,N,N,"Towed in by CG Cutter ""Seneca"""
Henry Steers No 80,,,Barge,1911,,1/26/1918,1916,1,26,"Port Newark, NJ",,,Burned,,,,,,368,,,At dock,,,1,,0,,,,,,,N,#165801
Hersey D Taylor,,,Motor vessel,1889,"Bath, ME",10/13/1916,1916,10,13,Cape May Jetty,,,Stranded,,,38.1,15.4,4.8,16,15,"New Bedford, MA",,,,2,,0,,,,,,,N ,#96000; Wrecked
Hope Sherwood,,,Schooner,1903,"Bath, ME",2/15/1916,1916,2,15,Five Fathom Bank Lightship SE 14 mi,,,"Collision w/ ""Yumuri""",Wood,,172.8,36.6,14,686,522,"New London, CT","New York, NY","Norfolk, VA",,,,,,,,,N,N,N,#96661; Damaged estimated at $8000
J R Bodwell,,,Schooner,1899,"Bath, ME",10/16/1916,1916,10,16,Sandy Hook,,,Foundered and sank,Wood,US,100.3,26.9,8.5,224,174,"Baltimore, MD","Sullivan, ME","Philadelphia, PA",,5,,0,,,Paving stones,Sandy Hook #97,Y,Y,N,#75650; Total loss
James W Elwell (1916),,,Schooner,1892,"Bath, ME",3/15/1916,1916,3,15,"Monmouth Beach, Long Branch",,,In distress,Wood,,196.4,39.9,18.3,1192,1081,"Portland, ME",,,,9,2,0,"$35,000",,,Monmouth Beach,N,N,N,#77069; Towed to port
John Bossert,,L Bossert & Son,Schooner,1904,"Bath, ME",2/15/1916,1916,2,15,"Seabright, NJ",,,Burned,,US,170.7,36,12.8,601,492,"New York, NY","Georgetown, SC","New York, NY",H P Smith,8,,1,,,Lumber,,Y,Y,N,#201579 Total loss
Juno (1916),,,Steamship,1888,"Hartlepool, England",12/15/1916,1916,12,15,Little Egg Inlet,,,Stranded in snow storm,Steel,Norway,300,38.5,20.6,2416,1546,"Larvik, Norway",,,,23,,0,"$310,000",,,"Sta #120, 121, 123",N,N,N,"Refloated; Aided by USCG ""Mohawk"""
Mary (1916),,,Steamship,1898,,3/28/1916,1916,3,28,"Kearny, NJ",,,Burned,,,,,,36,,,,,,0,,0,,,,,,,N,#141576
Mystic,,,Schooner,1908,,11/8/1916,1916,11,8,,,,Foundered,,,,,,259,,,"Perth Amboy, NJ",,,,,7,,,,,Y,Y,N,Departed Perth Amboy and disappeared
Nethtis,,,Bark,,,12/17/1916,1916,12,17,New Jersey coast,,,Lost in storm,,Brazil,,,,,,,,,,12,,,,,,,Y,Y,N,
Number Eight,,,Schooner,1899,"Bath, ME",7/20/1916,1916,7,20,"Sea Girt, NJ",,,"Collision w/ ""Comus""",,,193.6,34.9,17.1,924,810,"Baltimore, MD",,,,5,,0,,,,,,,N,#130804
Rose (1916),,,Barge,1892,,11/1/1916,1916,11,1,"Maurice River, NJ",,,Foundered,,,,,,262,,,,,,,,,,,,,,,N,
Salem (1916),,,Barge,1893,"Superior, WI",9/25/1916,1916,9,25,"Long Branch, NJ",,,Towing vessel disabled,Steel,,,,,1159,1115,"Boston, MA",,,,4,,0,"$92,000","$25,000",Coal,,N,N,N,"#53278; Towed in by USCG ""Seneca"""
Sam & George,,,Freighter,1912,"Wading River, NJ",8/6/1916,1916,8,6,Absecon Inlet,,,Burned,,,60.2,17,2.9,17,13,"Somers Point, NJ",,Freight service,,2,,0,,,,,,,N,#210304
Strathdene,,Burrell & Sons,Freighter,1909,"Greenock, Scotland",10/8/1916,1916,10,8,Nantucket Lightship SE 20 mi,40.32500,-69.34500,Torpedoed by U-53,Steel,England,375.3,52.1,,4321,,,"New York, NY","Bordueaux, France",,,,,,,,,F,Y,N,War loss
Sumner USS,,,Troop transport,1883,"Hamburg, Germany",12/12/1916,1916,12,12,Barnegat Shoal E 1 mi,39.75862,-74.08690,Stranded,Steel,US,351.1,43,26,3458,2182,,Canal Zone,"New York, NY",,142,190,0,,,Machinery,,A,Y,Y,"Broke in two, Total loss"
Theodore,,,Barge,1882,,7/30/1916,1916,7,30,"Jersey City, NJ",,,Burned,,,,,,126,,,,,,,,,,,,,,,N,
Wade Hampton (1916),,William Garner,Steamship,1877,"Charleston, SC",11/16/1916,1916,11,16,Cape May,,,Foundered,Wood,,96.9,20.6,8.9,123,84,"Philadelphia, PA",,,,,,,,,,,,,N,#80641
Yumuri,,NY & Cuba Mail SS Co,Steamship,1902,"Blythe, England",2/15/1916,1916,2,15,Five Fathom Bank Lightship SE 14 mi,,,"Collision w/ ""Hope Sherwood""",Steel,Cuba,270,39.5,19.7,1836,1166,"Havana, Cuba","New York, NY",Cuba,,,,,,,,,,,N,
Alexander Gibson,Alex Gibson,Luckenbach,Schooner - Barge,1877,"Thomaston, ME",11/28/1915,1915,11,28,Cape May McCrie Shoal,38.85122,-74.88267,Stranded,Wood,US,247.3,42.6,21.9,2194,1997,"New York, NY","Seawalls Point, VA","Boston, MA",,5,0,0,,,Coal,,A,Y,N,#105741; Total loss
Belleville,,U S Navy,Tug,1915,,1945,1915,,,Absecon Light E .75 mi,39.35555,-74.40138,,,,,,,,,,,,,,,,,,,,A,Y,N,
Eastside,,,Steamship,1882,,6/23/1915,1915,6,23,"Camden, NJ",,,Burned,,,,,,22,,,,,,126,,0,,,,,,,N,#110527
Elizabeth Palmer,,William F Palmer,Schooner,1903,"Bath, ME",1/26/1915,1915,1,26,Fenwick Island Lightship E 13 mi,38.46138,-74.82027,,,,,,,,,,,,,,,,,,,,A,Y,Y,#200201; Sank
Emma F Angell,,,Schooner,1883,"Bath, ME",8/10/1915,1915,8,10,Sandy Hook,,,In distress,Wood,US,174.9,37.3,15.4,862,819,"New York, NY","Cheverie, NS","Norfolk, VA",,,,,,,,,N,N,N,#135676; Towed to Sandy Hook
Esther G,,,Motor vessel gas,1913,,12/6/1915,1915,12,6,"Angelsea, NJ",,,Foundered; Abandoned,,,,,,7,,,,,,,,0,,,,,,,N,#211557
Esther Z,,Edward Frost,Motor vessel,1913,,12/6/1915,1915,12,6,"Angelsea, NJ",,,Foundered,Wood,,,,,7,,"Somers Point, NJ","Wildwood, NJ",Fishing Banks,Daniel Hoffman,3,,0,$450,$75,200 codfish,,Y,Y,N,#211557; Total Loss
Evelyn,,,Steamship,,,2/5/1915,1915,2,5,New Jersey coast,,,Leaking,,Uraguay,,,,707,,,,,,33,,0,"$50,000",,In ballast,,N,N,N,"Towed by CG ""Mohawk"""
Everett,,,Steamship,1907,"Quincy, MA",12/20/1915,1915,12,20,New Jersey coast,,,Damaged in gale,Steel,,373.2,52.7,29.8,5129,3113,"Boston, MA","Norfolk, VA","Boston, MA",,,,,,,,,N,N,N ,#204579; Broke steering gear
F A Allen,,,Schooner,1872,,11/12/1915,1915,11,12,Delaware River  Reedy Island,,,Stranded,,,,,,535,,,,,,,,,,,,,,,N,
Fannie H Stewart,,,Schooner 3 masted,1882,"Yorktown, VA",5/11/1915,1915,5,11,Cape May McCries Shoal,,,Struck mine; capsized,,,136,33,11,351,333,"Baltimore, MD",,,,6,,0,,,,,Y,Y,Y,#120529; Total Loss
Flora A Kimball,,Henry Ford,Schooner,1904,"Millbridge, ME",4/10/1915,1915,4,10,Barnegat Shoal,,,Stranded,Wood,US,140.7,32.3,11.4,401,321,"Bangor, ME",,,,7,,0,,,Lumber,"Barnegat, Forked River, Loveladies",N,N,N,#201051; Refloated
Florence Creadick,,William M Lank,Schooner,1890,"Milton, DE",11/30/1915,1915,11,30,Barnegat N 5 mi,,,"Collision w/ ""Farrar""",Wood,,164.4,35,13.3,730,657,"Philadelphia, PA","Camden, GA","New York, NY",William M Lank,8,0,0,"$20,000","$10,000",830 ton lumber,,N,N,N,#120791; Damaged
Invermay,,,Bark,1895,,4/12/1915,1915,4,12,"Manatolking, NJ",,,Stranded,Steel,England,238,36,21.7,1471,1337,,,,Howard M Horner,25,0,0,,,In ballast,Mantoloking,N,N,Y,"Refloated, sold for $14,000"
J S Lamson,,,Steamship,1894,,11/19/1915,1915,11,19,"Pensauken Creek, NJ",,,Burned,,,,,,16,,,,,,4,,0,,,,,,,N,#77135
Knickerbocker (1915),,,Schooner - Barge,1893,"Bath, ME",10/19/1915,1915,10,19,Barnegat Inlet N,,,Foundered,,,262.1,51.1,23.6,2381,2366,"Perth Amboy, NJ",,,,4,,3,,,,,,,N,#47145
L A Plummer,,,Schooner,1882,"Bath, ME",3/11/1915,1915,3,11,Little Egg Harbor shoal,,,Stranded,,,129.7,32.2,12.4,394,336,"New Bedford, MA",,,,6,,0,"$7,000","$5,500",Phosphate,"Little Egg, Brigantine, Little Beach",N,N,N,#140551; Refloated
M V B Chase,,,Schooner 3 masted,1882,"Bath, ME",8/4/1915,1915,8,4,Sandy Hook,,,Foundered,Wood,US,143.3,35.5,12.5,457,380,"New York, NY","Cheverie, NS","Norfolk, VA",,6,,2,,,Plaster,,,,N,#91469
Mohawk (1915),,,Motor vessel gas,1911,,1/3/1915,1915,1,3,"Camden, NJ Kaighns Point ",,,Burned,,,,,,14,,"Kaighns Point, Camden, NJ",,,,4,,0,,,,,,,N,#208913
Nelson Z Graves,,,Dredge,,,11/20/1915,1915,11,20,Cold Spring,,,Stranded,,,,,,705,,,,,,9,,0,,,,Two Mile Beach & Cold Spring,N,N,N,Refloated
Pero D'Alemquer,,,Bark,1869,"Liverpool, England",12/2/1915,1915,12,2,"Mantaloking, NJ",,,Stranded,Iron,Portugal,263,38.2,23.1,1528,1469,"Lisbon, Portugal","Lisbon, Portugal","New York, NY",Thomas Stephens,,,,,,,,N,N,Y,Refloated
St Joseph,,,Bark,1888,"Amsterdam, Neth",11/1/1915,1915,11,1,Brigantine Shoal,,,Grounded,Iron,Italy,182,35,20.4,1018,952,"Naples, Italy","Genoa, Italy","Philadelphia, PA",,,,,,,,,N,N,N,Refloated
Tartar (1915),,,Schooner,1904,,8/1/1915,1915,8,1,Brigantine Beach,39.44577,-74.31546,Stranded,Wood,US,,,,126,,,"New York, NY",Fishing trip,Henry Langsworth,4,,0,"$12,500",,,Little Egg Harbor,A,Y,N,Total loss
Viola,,C C Meigs,M/V Auxilary,,,1/8/1915,1915,1,8,Atlantic City,,,Stranded,,US,63,17,6,30,,,,,,,,,"$6,500",,,,Y,Y,N,Vessel lost
Washingtonian,,American Hawaiian SS Co,Freighter steam,1914,"Sparrow Point, MD",1/26/1915,1915,1,26,Fenwick Island Lightship E 13 mi,38.45694,-74.80893,,,,,,,,,,,,,,,,,,,,A,,Y,#211887; Sank; Total loss
William Coleman,,,Tug steam,1883,"Athens, NY",6/8/1915,1915,6,8,Great Egg Harbor Inlet,,,Stranded,,,53.6,13.7,5.6,21,10,"New York, NY",,Towing service,,3,,0,"$1,500",,,Great Egg,N,N,N,Refloated
Zanth,,,M/V Auxilary,,,6/2/1915,1915,6,2,"Seabright, NJ",,,Stranded,,,,,,,,,,,,2,,,$600,,,Monmouth Beach,Y,Y,N,Total loss
Aries (1914),,,Steamship,,,4/15/1914,1914,4,15,"Raritan Bay, NJ",,,Foundered,,,,,,114,,,,,,9,,2,,,,,,,N,
Atlantic City,,Warren Webster,Steamship,1912,"Port Richmond, NY",9/13/1914,1914,9,13,Absecon Inlet North shoal,,,Stranded in storm,Steel,US,180.1,28.4,12.5,927,630,"Philadelphia, PA","New York, NY","Atlantic City, NJ",Van Doren Townsend,27,34,0,"$100,000","$5,000",10 ton Groceries,Atlantic City ,N,N,N,#209871; Refloated
Charlemagne Tower Jr,,Southern SS Co,Transport steam,1886,"Cleveland, OH",3/6/1914,1914,3,6,Barnegat N 6 mi,39.84195,-74.00011,,,,,,,,,,,,,,,,,,,,A,Y,Y,#126358; Total loss
Charles K Buckley,,J P White,Schooner 3 masted,1890,"Millbridge, ME",4/15/1914,1914,4,15,"Long Branch, NJ",,,Stranded,Wood,US,153.4,34.2,12,507,480,"Newark, NJ","Jacksonville, FL","Elizabeth, NJ",J H Hardy,9,,8,"$10,000","$6,200",Yellow pine lumber,Monmouth Beach,Y,Y,Y,#126691; Total loss
Enos Soule,,,Coal barge,1869,"Freeport, ME",5/12/1914,1914,5,12,Brigantine Shoal,39.38686,-74.37998,Stranded,,,198.4,38,26.9,1386,1317,"Perth Amboy, NJ","Newport News, VA","Providence, RI",,4,,0,"$15,000","$5,000",Coal,South Brigantine Sta,A,Y,N ,#8591; Total loss
Frederica (1914),,,Steamship,1899,,4/28/1914,1914,4,28,Harvey Cedars SSE 1 mi,,,Grounded,Steel,Austria,340,46,17.9,3530,2261,"Trieste, Austria","Cienfuegos, Cuba","New York, NY",,28,0,0,"$80,000","$330,000",Sugar,Harvey Cedars,N,N,N ,Refloated
Fuller Palmer,,,Schooner,,,1/12/1914,1914,1,12,Highland Light,,,Foundered,,,,,,,,,,,,,,,,,Coal,,,,N,
Grace A Martin,,,Schooner,,,1/24/1914,1914,1,24,"Highland Light, NJ",,,Foundered,,,,,,,,,,,,,,,,,Coal,,,,N,
Hildur Mabel,,,Schooner,1910,"Greenwich, NJ",2/3/1914,1914,2,3,Barnegat LSS NNE 1.25 mi,39.77198,-74.08670,Grounded,,,52,16.5,5,19,14,"Tuckerton, NJ",Holly Beach,"Barnegat Light, NJ",,7,0,0,"$6,000",$300,Fish,Barnegat Inlet,A,,N,#207313; All saved
Humarock,Isaac Carlton,A D Cummins,Schooner,1883,"Columbia Falls, ME",5/29/1914,1914,5,29,Sandy Hook,,,Collision w/ tug,Wood,,133.5,33.4,14.3,455,399,"Philadelphia, PA","New York, NY","Philadelphia, PA",W.H. Fonwell,8,0,0,"$7,000",,None,,,,N,"#100344; aka ""Isaac Carlton"""
Mascot (1914),,,Sloop,,,1/4/1914,1914,1,4,Atlantic City N 1 mi,,,Stranded,,,,,,13,,"Somers Point, NJ","Atlantic City, NJ",,,3,,0,"$2,000",,None,Atlantic City,,,N,
Mattie W Porter (1914),,,Schooner,1897,"Port Republic, NJ",3/3/1914,1914,3,3,Absecon Light E 170 mi,,,Foundered,,,62.8,17,4.7,28,26,"Somers Point, NJ",,,,2,,0,,,,,,,N,#92829
Maurice R Shaw,,L B Shaw,Barge,1912,"Chesapeake City, MD",10/4/1914,1914,10,4,Cold Spring Bar,,,Stranded in heavy seas,Wood,,200,35,13.4,803,803,"Philadelphia, PA","Rockport, ME","Cold Spring, NJ",William Wilke,6,,0,"$36,000","$1,000",1500 ton stone,Two mile Beach,N,N,N,#210411; Refloated
New Jersey (1914),,NJ/NY Pilots Assoc,Pilot boat,1902,"Tottenville, NY",7/10/1914,1914,7,10,Ambrose Lightship,,,"Collision w/ ""Nanchoneal""",,,148.7,29.4,17.3,478,248,"New York, NY",,,,19,,0,,,,,Y,Y,N,#130992; sunk
No 9,,,Scow,,,11/19/1914,1914,11,19,Sandy Hook,,,Stranded,,,,,,,,,,,,1,,0,,,,Sandy Hook,,,N,
Oklahoma,,Gulf Refining Co,Tanker steam,1908,"Camden, NJ",1/4/1914,1914,1,4,Seaside Heights E 7 mi,39.94722,-73.91944,Foundered in storm,Steel,US,419,55.2,28.8,5853,3795,"Port Arthur, TX","New York, NY","Port Arthur, TX",,39,,26,,,In ballast,,A,Y,Y,#205040; Broke in two
Orellana,,J C A Johansson,Bark,1885,"Glasgow, Scotland",5/12/1914,1914,5,12,New Jersey coast,,,"Blown up by revenue cutter ""Mohawk""",,Norway,198.6,33.7,19.8,891,819,"Christiana, Norway",,,Johansson,,,,,,,,Y,Y,N,U/W Obstacle; Removed as a menace
Phelena Miner,,,Canal boat,1888,,5/23/1914,1914,5,23,"Elizabethport, NJ",,,Collision w/ dredge,,,,,,104,,,,,,0,,0,,,,,,,N,#54493
Queen Louise,,,Steamship,1912,"Glasgow, Scotland",2/7/1914,1914,2,7,Squan Inlet LSS N .25 mi,,,Stranded,Steel,England,404.9,53,27.1,4879,3139,"Glasgow, Scotland","Swansea, Wales","New York, NY",D P McDonald,39,,,"$300,000","$183,000",Tinplate,Squan Beach #8,N,N,Y,#133028; Refloated
Sagua (1914),,,Schooner - Barge,1901,"Bath, ME",3/1/1914,1914,3,1,,39.83333,-72.16666,,,,,,,,,,,,,,,,,,,,F,Y,N,#117052
T O Smith,,T O Smith,Schooner,1881,"Islip, NY",9/17/1914,1914,9,17,Barnegat Inlet,,,Dismasted; grounded,,,64,20.5,4.8,46,44,"Patchogue, NY",Virginia,"New York, NY",T O Smith,2,,,"$3,600", ,,Barnegat & Loveladies,N,N,N,#145269; Refloated; all saved
Teaser (1914),,F W Munn,Tug steam,1899,"East Boston, MA",5/29/1914,1914,5,29,Sea Isle City E 4 mi,,,Struck submerged object,Wood,US,113.7,25.3,13.5,216,121,"Philadelphia, PA","Philadelphia, PA","Fall River, MA",H W Law,15,0,0,"$38,000",,,,Y,Y,Y,"Total loss; Barge taken by ""Boxer"""
Thomas Winsmore,,William H Johnson,Schooner,1891,"Milton, DE",1/12/1914,1914,1,12,Sandy Hook Romer Shoal,,,Stranded,Wood,,144.4,34.2,10.6,435,381,"Philadelphia, PA","Charleston, SC","New York, NY",M F Beale,8,,0,"$10,000","$8,000",Lumber,,N,N,N,#145575; Refloated
Tunkhannock,,,Schooner - Barge,1891,"Noank, CT",10/18/1914,1914,10,18,Barnegat,,,Foundered,,,192,35.3,15.3,843,804,"New York, NY",,,,4,,0,,,,Barnegat,,,N,#145622
A G Ropes,,Luckenbach SS Co,Schooner - Barge,1884,"Bath, ME",12/26/1913,1913,12,26,Island Beach,,,Foundered in gale,Wood,US,258.2,44.7,28.4,2438,2328,"New York, NY","Philadelphia, PA","Providence, RI",,5,,5,"$50,000","$9,800",Coal,,Y,Y,Y,#106318; Total loss
American (1913),,Standard Oil Co of NJ,Steamship,1892,"Newcastle, England",2/22/1913,1913,2,22,Sea Isle City LSS E .75 mi,,,Stranded,Steel,Netherlands,345.4,44.1,27.6,3520,2266,"Rotterdam, Holland","Antwerp, Belgium","Philadelphia, PA",,37,,0,"$100,000",,in ballast,Sea Isle City,N,N,N,Refloated
Antioch,,J S Emery,Bark,1876,"Kennebunk, ME",3/27/1913,1913,3,27,Squan Beach LSS SSE 500 yds,40.11185,-74.02981,Stranded,,,183.3,35.2,21,986,,"Boston, MA","Savannah, GA","New York, NY",Morris,10,,0,"$12,000","$5,500",Lumber,Squan Beach,A,Y,Y,#105636; Total loss
Ardmore,,,Schooner - Barge,1895,"Bath, ME",4/16/1913,1913,4,16,Barnegat,,,Foundered,,,174.3,35.3,16.1,821,762,"Perth Amboy, NJ",,,,2,,,,,,,,,N,#107193
Bertha (1913),,,,,,7/9/1913,1913,7,9,,,,,,,,,,,,,,,,2,,0,$800,,,Little Egg,,,N,
Burnside,,Reading Rail Co,Schooner - Barge,1894,"Noank, CT",4/20/1913,1913,4,20,"Long Branch, NJ E 37 mi",40.27500,-73.19055,Foundered,Wood,,192.6,34.7,16,855,823,"Philadelphia, PA","Philadelphia, PA","Dorchester, MA",Andrew Hanson,3,,0,"$4,190","$4,515",,,F,,N,"#3629; In tow of ""Lykens"""
